ItemCode,item_name,unit,source_plants
219222,딥앤로우크런치바닐라믹스,BT,"남양주1,남양주2"
219223,E따옴바 딸기 믹스,BT,"남양주1,남양주2"
220006,바나나맛우유믹스,BT,"남양주1,남양주2,김해,논산"
220007,참맛딸기믹스,BT,"남양주1,남양주2"
220008,참맛초코믹스,BT,김해
220019,유산균배양액,BT,"남양주1,남양주2,김해"
220022,쥬시쿨FINAL믹스,BT,"남양주1,남양주2,김해"
220025,쥬시쿨(파인)FINAL믹스,BT,"남양주1,남양주2"
220032,욥닥터병,EA,김해
220051,바나나맛우유믹스(수출용),BT,김해
220059,빙그레딸기맛우유믹스,BT,논산
220067,바나나병(상),EA,"김해,광주"
220068,바나나병(하),EA,"김해,광주"
220069,딸기병(상),EA,광주
220073,바나나병라이트병(상),EA,광주
220076,바나나병(상)중국,EA,광주
220077,딸기병(상)중국,EA,광주
220090,바나나우유맛 라이트믹스,BT,"남양주1,남양주2"
220114,쥬시쿨복숭아믹스,BT,"남양주1,남양주2,김해"
220118,굿모닝저지방우유믹스,BT,"남양주1,남양주2"
220125,클래식 DVS 믹스,BT,광주
220129,요플레 오리지널 믹스,BT,광주
220133,딸기맛우유믹스(수출),BT,김해
220140,메론맛우유믹스(수출),BT,김해
220142,바나나맛우유믹스(중국),BT,논산
220143,닥터바이오 펙틴(사과),BT,김해
220144,닥터바이오 믹스(사과),BT,김해
220150,요플레 플레인 화이트 믹스,BT,"남양주1,남양주2"
220170,메론병(상)중국,EA,김해
220171,바나나맛우유믹스(미국),BT,김해
220183,바리스타밀크 믹스,BT,"남양주1,남양주2"
220184,시유믹스,BT,"남양주1,남양주2"
222010,요플레클래식85g(멀티반제품)_광주,CS2,광주
222024,요플레8입(멀티반제품)-광주V,CS2,광주
222026,요플레블루베리V(기내식반제품)-광주,CS2,광주
222051,바나나맛우유(반제품),CS,"남양주1,남양주2"
222052,바나나라이트(반제품),CS,"남양주1,남양주2"
222053,딸기맛우유(반제품),CS,논산
223010,요플레 토핑 믹스,BT,광주
223102,닥터바이오펙틴(플레인),BT,김해
223103,닥터바이오 믹스(플레인),BT,김해
223271,요플레 그릭 마일드 믹스,BT,"남양주1,남양주2"
223312,딸기맛우유믹스(미국),BT,김해
223313,메론맛우유믹스(미국),BT,김해
223342,아카페라스페셜티컵라떼 300 믹스,BT,김해
